Actual Class,Predicted Class,Confidence
laerm,laerm,0.9968861937522888
laerm,laerm,0.9916011095046997
laerm,laerm,0.9988579750061035
laerm,laerm,0.9968723654747009
laerm,laerm,0.9964026212692261
laerm,laerm,0.9945117235183716
laerm,laerm,0.9943256974220276
laerm,laerm,0.9930371642112732
laerm,laerm,0.5351283550262451
laerm,stille,0.6804170608520508
laerm,laerm,0.9934625625610352
laerm,laerm,0.9949442744255066
laerm,laerm,0.9825085401535034
laerm,laerm,0.9912582039833069
laerm,laerm,0.9970546960830688
laerm,laerm,0.9918768405914307
laerm,laerm,0.9977915287017822
laerm,laerm,0.9897659420967102
laerm,laerm,0.996618390083313
laerm,laerm,0.9956609606742859
laerm,laerm,0.9986864924430847
laerm,laerm,0.9996274709701538
laerm,laerm,0.9956122636795044
laerm,laerm,0.9967920184135437
laerm,laerm,0.9976003766059875
laerm,laerm,0.9967166781425476
laerm,laerm,0.9914231896400452
laerm,laerm,0.9983629584312439
laerm,laerm,0.9936994314193726
laerm,laerm,0.9986397624015808
laerm,laerm,0.9995346069335938
laerm,laerm,0.9951180219650269
laerm,laerm,0.9969383478164673
laerm,laerm,0.9977489113807678
laerm,laerm,0.9879063367843628
laerm,laerm,0.9857335090637207
laerm,laerm,0.9954570531845093
laerm,laerm,0.9942383766174316
laerm,laerm,0.9947304725646973
laerm,laerm,0.9909238219261169
laerm,laerm,0.9824955463409424
laerm,laerm,0.9981300234794617
laerm,laerm,0.9932534098625183
laerm,laerm,0.9953572154045105
laerm,laerm,0.9952011108398438
laerm,laerm,0.9954822063446045
laerm,laerm,0.9950153231620789
laerm,laerm,0.9918956160545349
laerm,laerm,0.9960858821868896
laerm,laerm,0.9949541687965393
laerm,laerm,0.9749014973640442
laerm,laerm,0.9938464760780334
laerm,laerm,0.9961632490158081
laerm,laerm,0.9947962164878845
laerm,laerm,0.9950893521308899
laerm,laerm,0.9959273934364319
laerm,laerm,0.9935427904129028
laerm,laerm,0.9943628311157227
laerm,laerm,0.9970287680625916
laerm,laerm,0.9950862526893616
laerm,laerm,0.9944156408309937
laerm,laerm,0.9932209253311157
laerm,laerm,0.9967976212501526
laerm,laerm,0.9944254159927368
laerm,laerm,0.99319988489151
laerm,laerm,0.9969743490219116
laerm,laerm,0.995572566986084
laerm,laerm,0.9974350333213806
laerm,laerm,0.9974581599235535
laerm,laerm,0.9949733018875122
laerm,laerm,0.9923662543296814
laerm,laerm,0.993240475654602
laerm,laerm,0.9983301758766174
laerm,laerm,0.9976605176925659
laerm,laerm,0.994602382183075
laerm,laerm,0.9936434030532837
laerm,laerm,0.9969161748886108
laerm,laerm,0.9932109713554382
laerm,laerm,0.997454822063446
laerm,laerm,0.9943471550941467
laerm,laerm,0.9894276261329651
laerm,laerm,0.9968006610870361
laerm,laerm,0.9939577579498291
laerm,laerm,0.9953449368476868
laerm,laerm,0.9941052198410034
laerm,laerm,0.9883411526679993
laerm,laerm,0.9969555139541626
laerm,laerm,0.9950527548789978
laerm,laerm,0.9970725774765015
laerm,laerm,0.9945553541183472
laerm,laerm,0.993502676486969
laerm,laerm,0.9948870539665222
laerm,laerm,0.9959851503372192
laerm,laerm,0.9954440593719482
laerm,laerm,0.9922745823860168
laerm,laerm,0.9948209524154663
laerm,laerm,0.9964016675949097
laerm,laerm,0.99664306640625
laerm,laerm,0.9979935884475708
laerm,laerm,0.9926678538322449
laerm,laerm,0.9910707473754883
laerm,laerm,0.9928696751594543
laerm,laerm,0.9934417009353638
laerm,laerm,0.9943253397941589
laerm,laerm,0.995089590549469
laerm,laerm,0.9902468919754028
laerm,laerm,0.9929887652397156
laerm,laerm,0.996502161026001
laerm,laerm,0.9958731532096863
laerm,laerm,0.9977238774299622
laerm,laerm,0.9975951313972473
laerm,laerm,0.9959955215454102
laerm,laerm,0.9967369437217712
laerm,laerm,0.9983876943588257
laerm,laerm,0.9990255832672119
laerm,laerm,0.9977732300758362
laerm,laerm,0.9987465143203735
laerm,laerm,0.9922716617584229
laerm,laerm,0.9944179058074951
laerm,laerm,0.9985606074333191
laerm,laerm,0.9972737431526184
laerm,laerm,0.9981561303138733
laerm,laerm,0.9961058497428894
laerm,laerm,0.9940051436424255
laerm,laerm,0.993091344833374
laerm,laerm,0.9911899566650391
laerm,laerm,0.9918786287307739
laerm,laerm,0.9894967079162598
laerm,laerm,0.7790671586990356
laerm,laerm,0.9966096878051758
laerm,laerm,0.9896987080574036
laerm,laerm,0.9966259002685547
laerm,laerm,0.9714486598968506
laerm,laerm,0.9986972212791443
laerm,laerm,0.9961041212081909
laerm,laerm,0.9977599382400513
laerm,laerm,0.996455729007721
laerm,laerm,0.9960280656814575
laerm,laerm,0.9924246072769165
laerm,laerm,0.9951462149620056
laerm,laerm,0.9916501045227051
laerm,laerm,0.9904352426528931
laerm,laerm,0.9983396530151367
laerm,laerm,0.9949829578399658
laerm,laerm,0.994278073310852
laerm,laerm,0.9855319857597351
laerm,laerm,0.9923662543296814
laerm,laerm,0.9982935786247253
laerm,laerm,0.9958369731903076
laerm,laerm,0.9958861470222473
laerm,laerm,0.996975302696228
laerm,laerm,0.9960272312164307
laerm,laerm,0.9901188611984253
laerm,laerm,0.9936553239822388
laerm,laerm,0.9960747957229614
laerm,laerm,0.997328519821167
laerm,laerm,0.9980161190032959
laerm,laerm,0.9920579791069031
laerm,laerm,0.9964694976806641
laerm,laerm,0.9953418970108032
laerm,laerm,0.9961961507797241
laerm,laerm,0.9960290193557739
laerm,laerm,0.9977637529373169
laerm,laerm,0.996634304523468
laerm,laerm,0.9961531758308411
laerm,laerm,0.9939197301864624
laerm,laerm,0.995743453502655
laerm,laerm,0.9976442456245422
